participant_id,sleep_hours,reaction_time_ms,caffeine_mg,study_hours
S001,5.7,316,150,5.9
S002,4.6,337,200,1.5
S003,4.7,342,250,4.9
S004,6.5,306,100,5.5
S005,8.4,266,0,4.7
S006,6.7,285,200,5.9
S007,8.1,255,250,5.6
S008,6.9,314,0,7.6
S009,7.9,289,100,6.1
S010,4.8,353,150,7.3
S011,6.9,296,150,2.4
S012,6.8,307,0,6.3
S013,5.8,305,150,3.6
S014,8,268,150,2
S015,5.4,311,300,3.9
S016,5.8,296,100,1.5
S017,5.5,330,150,5.5
S018,8.1,277,150,7.2
S019,4.6,350,200,5.6
S020,7.6,266,150,3.1
S021,6.6,303,150,6.7
S022,6.1,323,50,4.9
S023,5.1,333,250,4
S024,6,317,50,4.2
S025,7,292,150,3.5
S026,6.5,305,250,5.9
S027,4.8,346,0,4
S028,7.6,279,50,1.8
S029,5,322,200,1.2
S030,7.4,302,250,7.9
S031,5.2,340,50,5.8
S032,5.8,299,250,4.8
S033,6.1,318,150,6.8
S034,6.7,290,200,3.2
S035,6,326,100,4.6
S036,6.6,311,100,6.3
S037,4.7,335,100,2.5
S038,4.7,337,100,6.6
S039,6.9,299,200,5.9
S040,7.9,281,0,4.9
S041,6.5,295,100,1.1
S042,5.9,313,250,7.6
S043,6.2,300,300,4.1
S044,4.6,347,250,5.2
S045,6.9,283,150,5.1
S046,5.6,309,250,5.2
S047,7,288,250,4.5
S048,7.8,263,150,4.3
S049,5,351,250,7.1
S050,7.9,250,300,1.6
S051,7.2,274,50,2.7
S052,6.3,315,200,6.2
S053,6.3,302,250,3.7
S054,8.1,266,150,2.7
S055,6.1,324,0,5.5
S056,5.4,322,200,1.3
S057,8.4,254,100,3.7
S058,6.9,304,200,4.5
S059,6.2,298,150,4.2
S060,4.9,319,150,1.7
